,x,n,u,T,q
72,0.45728643216080406,0.6872237890389824,0.325116415259142,0.8602632643254574,0.08661681476080789
73,0.47738693467336674,0.626619141687884,0.38264076840862593,0.8518909159858065,0.08135038109775382
74,0.49748743718592964,0.5795623087087217,0.43414463359605115,0.8420215461753369,0.07621322848031198
75,0.5175879396984926,0.5430957349601593,0.4636585500851347,0.8411417211177574,0.07313935009503221
76,0.5376884422110553,0.4967042028006149,0.4836921634428549,0.8530400554207953,0.07095300224705534
77,0.5577889447236182,0.4364173456823953,0.5134711670713216,0.8715158400295828,0.0676340727598055
78,0.5778894472361811,0.3816145749463969,0.5439590694152682,0.8922288180628195,0.06407925109150639
79,0.5979899497487438,0.3401884550064533,0.5644184373442725,0.911870199023067,0.0613333637000449
80,0.6180904522613067,0.308991802246178,0.5700428499861894,0.9305817578359382,0.05975023191952071
81,0.6381909547738693,0.2824175765818811,0.5622610987583653,0.950090223357906,0.058965669854874295
82,0.6582914572864322,0.2575065628498025,0.5441012885411867,0.9711606498891636,0.058433327711805094
83,0.6783919597989951,0.23410775465176983,0.5176945828512965,0.9926863484920303,0.057723817965465836
84,0.6984924623115578,0.21315342285863267,0.4843527148133699,1.0120770560153638,0.0565426068368659
85,0.7185929648241207,0.19532848502792113,0.44520009241704417,1.0263308854121562,0.05469575209423102
86,0.7386934673366834,0.18067987198657787,0.4015166941029203,1.0331821329327648,0.05208568960343682
87,0.7587939698492463,0.1688144956652813,0.3548287898280376,1.0317239802083908,0.048719338147146615
88,0.7788944723618092,0.15922046756896174,0.30690615018541156,1.0223629757258479,0.04470248999508274
89,0.7989949748743719,0.1514625564685263,0.25967471937583114,1.0064317773964935,0.04021453443223931
90,0.8190954773869348,0.14522399874638287,0.21500164159152907,0.9857802747167086,0.03547170285372011
91,0.8391959798994975,0.1402685669842467,0.17440717910253972,0.9624278764593518,0.030690465666949728
92,0.8592964824120604,0.13639516228834436,0.13884566348380953,0.9382660209550375,0.026060233956362262
93,0.8793969849246233,0.13341598727748574,0.10866073457671495,0.914839493028961,0.02172905957289929
94,0.8994974874371859,0.13115610978067543,0.0837030718025398,0.8932457167928687,0.01780021923341381
95,0.9195979899497488,0.12946090601180613,0.06351658699471671,0.8741432873803456,0.014334824501281717
96,0.9396984924623115,0.12820134207404812,0.0475032172554982,0.8578225937155328,0.011356751072094474
97,0.9597989949748744,0.12727416851430431,0.03502952441920148,0.8442948286497525,0.008858694808381026
98,0.9798994974874373,0.1265985721482799,0.025483020775655712,0.8333780203449586,0.006809413303748384
99,1.0,0.1261117751826957,0.018300229721696305,0.8247736208800638,0.005161852943994146
100,1.0201005025125627,0.12576514343876147,0.012982123377023593,0.8181306534471393,0.0038611016384883616
101,1.0402010050251256,0.12552122566346832,0.009102624303483638,0.8130942789010036,0.0028509573420158097
102,1.0603015075376885,0.12535153053107395,0.00631076677081541,0.80933726060644,0.0020784335711104404
103,1.0804020100502514,0.12523474197707202,0.004326795341242927,0.8065759566665494,0.0014962399411774983
104,1.1005025125628143,0.12515519592877455,0.0029338061791848143,0.8045748933844941,0.001063736999606852
105,1.1206030150753767,0.12510156996830615,0.001967283262441867,0.8031445135732642,0.0007469591797339825
106,1.1407035175879396,0.12506579279453758,0.00130458437910056,0.8021357541093189,0.0005181613162231822
107,1.1608040201005025,0.12504217724660283,0.0008555988233552154,0.8014336939965148,0.00035515383878439457
108,1.1809045226130654,0.12502675824119416,0.0005550113865873348,0.8009513626370053,0.0002405554221247965
109,1.2010050251256283,0.12501680086952702,0.00035613083230958613,0.80062413259481,0.0001610272256710275
110,1.2211055276381912,0.12501044044709692,0.00022605783428607807,0.8004048336027464,0.000106532153170942
111,1.2412060301507537,0.12500642129811068,0.0001419492477695416,0.800259624283256,6.965493879520751e-05
112,1.2613065326633166,0.12500390861565333,8.817145388468085e-05,0.8001646134663964,4.500889073032131e-05
113,1.2814070351758795,0.12500235439492544,5.41712136538536e-05,0.8001031843297408,2.8741444199515825e-05
114,1.3015075376884424,0.12500140327260245,3.291680819233245e-05,0.8000639399673524,1.813760141307275e-05
115,1.3216080402010053,0.12500082749127064,1.9780890543138656e-05,0.800039168057709,1.1311396595824414e-05
116,1.3417085427135678,0.1250004827309744,1.1755282927158034e-05,0.8000237186213548,6.971446008187093e-06
117,1.3618090452261307,0.1250002785730649,6.908209697931815e-06,0.8000141984515673,4.246184569017587e-06
118,1.3819095477386936,0.1250001590164875,4.014467498837792e-06,0.8000084018647114,2.555832362750136e-06
119,1.4020100502512565,0.12500008978187535,2.3067330599146995e-06,0.8000049144075627,1.5201959733072322e-06
120,1.4221105527638194,0.12500005013539683,1.310507230609303e-06,0.8000028411473021,8.934444562864808e-07
121,1.4422110552763818,0.12500002768625856,7.360537283398669e-07,0.8000016233116375,5.187986830523317e-07
122,1.4623115577889447,0.12500001511797232,4.086546309810992e-07,0.8000009165394004,2.976156963948748e-07
123,1.4824120603015076,0.12500000816154994,2.2424723412921703e-07,0.8000005113261348,1.6865633945627998e-07
124,1.5025125628140705,0.12500000435553296,1.2161017200586526e-07,0.8000002818393642,9.440713508111616e-08
125,1.5226130653266334,0.12500000229742447,6.516813391320802e-08,0.800000153469911,5.2194680552051046e-08
126,1.5427135678391959,0.12500000119761176,3.450435084598457e-08,0.8000000825513036,2.849876965904413e-08
127,1.5628140703517588,0.12500000061689143,1.8048171324842143e-08,0.8000000438595408,1.5365840279372472e-08
128,1.5829145728643217,0.1250000003139485,9.325128817946825e-09,0.8000000230147318,8.18014023526865e-09
129,1.6030150753768846,0.12500000015783297,4.758528320218818e-09,0.800000011926778,4.299087884566527e-09
130,1.6231155778894475,0.12500000007837034,2.3978014202738467e-09,0.8000000061041119,2.2301545807881984e-09
131,1.64321608040201,0.12500000003842715,1.1928813627375174e-09,0.8000000030859469,1.1417356508987573e-09
132,1.6633165829145728,0.12500000001860243,5.857897468691995e-10,0.8000000015419653,5.767596831184175e-10
133,1.6834170854271358,0.12500000000888903,2.838974700766924e-10,0.8000000007625965,2.874400422372791e-10
134,1.7035175879396987,0.1250000000041918,1.3575896618443829e-10,0.8000000003744742,1.4130030474693832e-10
135,1.7236180904522616,0.12500000000195033,6.404302489078276e-11,0.8000000001838232,6.850101492795747e-11
136,1.743718592964824,0.1250000000008951,2.9797061822467596e-11,0.800000000091466,3.274285104089612e-11
137,1.763819095477387,0.1250000000004051,1.367013705250466e-11,0.8000000000473518,1.542768514334025e-11
138,1.7839195979899498,0.12500000000018074,6.1823466740218774e-12,0.8000000000265809,7.163783894978136e-12
139,1.8040201005025127,0.12500000000007944,2.7555344560436217e-12,0.8000000000169423,3.2773674778665108e-12
140,1.8241206030150756,0.12500000000003436,1.2100206857902376e-12,0.8000000000125354,1.4768213751177011e-12
141,1.844221105527638,0.1250000000000146,5.233677451704817e-13,0.8000000000105506,6.552757020738314e-13
142,1.864321608040201,0.12500000000000605,2.2289336282410816e-13,0.8000000000096709,2.86200155464563e-13
143,1.8844221105527639,0.12500000000000241,9.3367503437359e-14,0.8000000000092867,1.230175028052091e-13
144,1.9045226130653268,0.1250000000000009,3.848737062189002e-14,0.8000000000091219,5.201349310145896e-14
145,1.9246231155778897,0.12500000000000028,1.5603555055782218e-14,0.8000000000090518,2.1625861333317416e-14
146,1.9447236180904521,0.12500000000000003,6.214201370641543e-15,0.8000000000090229,8.84452705856834e-15
147,1.964824120603015,0.12499999999999993,2.426769078317597e-15,0.8000000000090111,3.5466210014845402e-15
148,1.984924623115578,0.12499999999999989,9.254565973728647e-16,0.8000000000090064,1.3997045060983486e-15
149,2.0050251256281406,0.12499999999999988,3.4091336482415436e-16,0.8000000000090043,5.399880149690034e-16
150,2.0251256281407035,0.12499999999999986,1.1746876988432904e-16,0.8000000000090037,2.0815271542138935e-16
151,2.0452261306532664,0.12499999999999986,3.365696937825456e-17,0.8000000000090034,7.625395659859173e-17
152,2.065326633165829,0.12499999999999986,2.8262713193639923e-18,0.8000000000090034,2.530077805441202e-17
153,2.0854271356783918,0.12499999999999986,-8.28965757680986e-18,0.8000000000090034,6.505309352166737e-18
154,2.1055276381909547,0.12499999999999986,-1.2215305679822374e-17,0.8000000000090033,-2.8525301208282115e-19
155,2.1256281407035176,0.12499999999999986,-1.357241018630628e-17,0.8000000000090033,-2.6863807815729205e-18
156,2.1457286432160805,0.12499999999999986,-1.4031489057751597e-17,0.8000000000090033,-3.5168318972981936e-18
157,2.165829145728643,0.12499999999999986,-1.418317855456201e-17,0.8000000000090033,-3.797476729142212e-18
158,2.185929648241206,0.12499999999999986,-1.4232152752883325e-17,0.8000000000090033,-3.890089415141526e-18
159,2.2060301507537687,0.12499999999999986,-1.4247607396668755e-17,0.8000000000090033,-3.919854146548591e-18
160,2.2261306532663316,0.12499999999999986,-1.4252347650613398e-17,0.8000000000090033,-3.929226049091402e-18
161,2.2462311557788945,0.12499999999999986,-1.4253814271375473e-17,0.8000000000090033,-3.932138334098238e-18
162,2.266331658291457,0.12499999999999986,-1.4254232691744235e-17,0.8000000000090033,-3.9329356797579514e-18
163,2.28643216080402,0.12499999999999986,-1.4254298548900228e-17,0.8000000000090033,-3.933195445664137e-18
164,2.306532663316583,0.12499999999999986,-1.4254318588739226e-17,0.8000000000090033,-3.933242631036124e-18
165,2.3266331658291457,0.12499999999999986,-1.4254324408207037e-17,0.8000000000090033,-3.933256453402134e-18
166,2.3467336683417086,0.12499999999999986,-1.4254326019933384e-17,0.8000000000090033,-3.9332603195766415e-18
167,2.366834170854271,0.12499999999999986,-1.4254326445333138e-17,0.8000000000090033,-3.933261351412384e-18
168,2.386934673366834,0.12499999999999986,-1.4254326552243056e-17,0.8000000000090033,-3.933261613957981e-18
169,2.407035175879397,0.12499999999999986,-1.4254326577798504e-17,0.8000000000090033,-3.933261677579078e-18
170,2.4271356783919598,0.12499999999999986,-1.4254326583600884e-17,0.8000000000090033,-3.9332616922415484e-18
171,2.4472361809045227,0.12499999999999986,-1.4254326584850113e-17,0.8000000000090033,-3.933261695449759e-18
172,2.467336683417085,0.12499999999999986,-1.4254326585104595e-17,0.8000000000090033,-3.933261696114722e-18
173,2.487437185929648,0.12499999999999986,-1.4254326585153507e-17,0.8000000000090033,-3.933261696244913e-18
174,2.507537688442211,0.12499999999999986,-1.4254326585162348e-17,0.8000000000090033,-3.9332616962689045e-18
175,2.527638190954774,0.12499999999999986,-1.4254326585163842e-17,0.8000000000090033,-3.9332616962730475e-18
176,2.5477386934673367,0.12499999999999986,-1.425432658516408e-17,0.8000000000090033,-3.933261696273714e-18
177,2.567839195979899,0.12499999999999986,-1.4254326585164114e-17,0.8000000000090033,-3.933261696273813e-18
178,2.587939698492462,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273826e-18
179,2.608040201005025,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273828e-18
180,2.628140703517588,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
181,2.648241206030151,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
182,2.6683417085427132,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
183,2.688442211055276,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
184,2.708542713567839,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
185,2.728643216080402,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
186,2.748743718592965,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
187,2.7688442211055273,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
188,2.78894472361809,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
189,2.809045226130653,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
190,2.829145728643216,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
191,2.849246231155779,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
192,2.8693467336683414,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
193,2.8894472361809043,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
194,2.909547738693467,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
195,2.92964824120603,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
196,2.949748743718593,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
197,2.969849246231156,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
198,2.9899497487437183,0.12499999999999986,-1.425432658516412e-17,0.8000000000090033,-3.933261696273829e-18
